geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2019-05-12,2019-06-09,2019-05-19,1,1349,1289.5521585600077,4.4068081126754866,argo,0.10519434592720998,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-05-26,2,1548,1297.3532235781697,16.191652223632445,argo,0.10519434592720998,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-06-02,3,1579,1274.0030953075457,19.315826769629787,argo,0.10519434592720998,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-06-09,4,2882,1257.7993340014903,56.35671984727654,argo,0.10519434592720998,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-05-26,1,1548,1092.1369498965662,29.448517448542233,ar,NA,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-02,2,1579,1012.4742140049822,35.87877048733488,ar,NA,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-09,3,2882,980.7832307546472,65.96865958519614,ar,NA,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-16,4,1460,975.7893445714591,33.165113385516506,ar,NA,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-05-26,1,1548,1348.0349348849065,12.917639865316117,argo,0.10442118695347076,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-02,2,1579,1323.1247304103615,16.20489357755785,argo,0.10442118695347076,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-09,3,2882,1301.4441094796468,54.84232791534882,argo,0.10442118695347076,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-19,2019-06-16,2019-06-16,4,1460,1280.747345329672,12.277579087008764,argo,0.10442118695347076,0,229,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-02,1,1579,1257.010518848448,20.39198740668473,ar,NA,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-09,2,2882,1155.660822821212,59.900734808424296,ar,NA,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-16,3,1460,1087.5781094187212,25.508348669950603,ar,NA,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-23,4,2503,1028.9707395772996,58.89050181473034,ar,NA,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-02,1,1579,1487.7149237643082,5.781195455078645,argo,0.10335503902983287,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-09,2,2882,1461.8763081254751,49.27563122395992,argo,0.10335503902983287,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-16,3,1460,1422.2073643832616,2.5885366860779713,argo,0.10335503902983287,0,230,4,log1p,"1,2,3,52,104"
MX,2019-05-26,2019-06-23,2019-06-23,4,2503,1390.0169650099574,44.465962244907814,argo,0.10335503902983287,0,230,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-09,1,2882,1332.175270783561,53.776014199043686,ar,NA,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-16,2,1460,1212.867554553122,16.926879825128623,ar,NA,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-23,3,2503,1106.8172718492763,55.78037267881437,ar,NA,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-30,4,2651,1057.6531226400562,60.103616648809655,ar,NA,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-09,1,2882,1537.664125008109,46.645935981675606,argo,0.10272648361507089,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-16,2,1460,1495.3795609376875,2.4232575984717486,argo,0.10272648361507089,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-23,3,2503,1454.4284539714836,41.892590732261944,argo,0.10272648361507089,0,231,4,log1p,"1,2,3,52,104"
MX,2019-06-02,2019-06-30,2019-06-30,4,2651,1418.324662633015,46.49850386144795,argo,0.10272648361507089,0,231,4,log1p,"1,2,3,52,104"
